label,text
A,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds.
A,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds..
A,doing some experiments crawling tweets about Batavierenrace .. let us see if it succeeds...
A,Batavierenrace door #Ulft: Eind april klinkt jaarlijks het startschot voor de grootste estafetteloop v... http://t.co/hijGD3pk #Enschede
A,Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Batavierenrace Graag RT!
A,RT @nieuws_enschede: Batavierenrace door #Ulft: Eind april klinkt jaarlijks het startschot voor de grootste estafetteloop v... http://t. ...
A,RT @studentsportNL: Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Bataviere ...
A,RT @studentsportNL: Organiseer jij een  NSK in 2013? Meld je dan aan voor de NSK bijeenkomst van komende donderdag! @NSAFZeuS @Bataviere ...
C,"To batavierenrace or not to batavierenrace, that's the question... #Batavierenrace #estafette"
P,Voor het eerst mijn beentjes strekken. Ik ben benieuwd hoe het mij afgaat #Batavierenrace
A,Bursaspor Batalla'y satyor mu? http://t.co/JFBFrsIw
A,Katuwa ang mga bata..hehe..
A,@AL_NISAA1:\nMara ankuo ka nicha nichn ha ilaj b karya ha par nichan ni ja raha plz koi cream ya koi tip bata da\n\n yasmeem khan\nKhi
A,Svet Poznatih | Bata: Sre_an sam _to sam ponovo u svom domu http://t.co/bSIQc5vF
A,Anong payo ang iyong maibibigay sa mga bata ngayon?  Huwag maging atat umibig. Iba resulta kapag biglang kabig.... http://t.co/FFnLf9Hb
A,RT @HiBabeee: SELOS: Hindi ito tanda ng pagiging ISIP BATA. Ito ay tanda ng pagmamahal ng TAMA.
A,@jessasilapan hahah :)) oo nga kya nga nkakagulat e. ang bata pa. Hahah :))
A,"RT @ShitHappensDre: Ke bata bata, ang harot harot na!"
A,"Napakagandang bata, sayang di na nya mararanasan lahat ng mssya sa buhay."
A,"Bu sar_nlar harbiden mal abi yaa. Ben bu havada markete gitmeye _eniyorum, kz giymi_ 2 metre topukluyu amura bata bata yryor. Mal ya."
A,I feel like dancing..#bata#salsa
A,"Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafettel... http://t.co/52FXb2QI #Enschede"
A,"Tatlo Lang Ang Pwedeng MakaPagSabe Ng Totoo . .. Ang #Lasing , #Bata , #Galet ."
A,"Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafetteloop t... http://t.co/aBD8APKS #Oss"
A,@Adityaveranda48 sabaar sabaar mulu udah berapa hari tuh gw minta pulsa kgak dikirimin #bata mana bataa...
A,"wakak:D udh msk blm?""@zhareza86: @Adityaveranda48 sabaar sabaar mulu udah berapa hari tuh gw minta pulsa kgak dikirimin #bata mana bataa...""
A,Bangkrut __ #shopping #lost #wallet #insight #spyderbilt #billabong #pants #hardware #lunamaya #bata http://t.co/8btdTA1W
A,""RT @nieuws_enschede: Evenement waar je trots op kunt zijn: De voorbereiding van de Batavierenrace, de grootste estafettel... http://t. ..."
P,Maar zo wel even hardlopen want die cascaderun &amp  batavierenrace komen alleeen maar dichterbij!
P,Morgenvroeg maar beginnen met trainen voor de #Batavierenrace met m'n knalpaarse H&amp M bodywarmer! #Hardlopen
A,testing crawler #bata2013
A,testing crawler #bata13
T,Ben jij een snelle hardloper? Lopers gezocht voor het Hanze/RUG/ACLO-team voor de @Batavierenrace http://t.co/lrQgQ5u8MT #hanze
